title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Apex,2021,"Action, Thriller, Science Fiction",5.4,249.46,402,en,2
The Tinder Swindler,2022,"Documentary, Crime",7.1,246.652,455,en,3
Love Tactics,2022,"Romance, Comedy",6.7,244.573,83,tr,9
The Addams Family 2,2021,"Animation, Adventure, Comedy, Family",7.2,244.18,785,en,0
Dynasty Warriors,2021,"Action, Adventure, Fantasy",6.5,242.342,84,cn,10
Miraculous World: Shanghai – The Legend of Ladydragon,2021,"Animation, Comedy, Family, Adventure",7.9,241.638,411,fr,0
"Miraculous World: New York, United HeroeZ",2020,"Animation, Family, Comedy, Adventure, TV Movie",8.3,240.048,862,fr,0
Surviving Paradise: A Family Tale,2022,Documentary,6.9,240.002,7,en,3
My Hero Academia: Heroes Rising,2019,"Animation, Action, Fantasy, Adventure",8.4,239.599,890,ja,10
Amina,2021,"War, History, Drama",6.5,237.262,92,en,6
Encounter,2021,"Adventure, Drama",6.4,235.482,256,en,6
Son,2021,"Horror, Thriller",6.0,232.494,90,en,7
Wonder Woman 1984,2020,"Action, Adventure, Fantasy",6.6,231.756,6599,en,10
The Amazing Spider-Man 2,2014,"Action, Adventure, Fantasy",6.5,231.441,10763,en,10
The Whole Truth,2021,Horror,6.5,231.334,109,th,5
Catwoman: Hunted,2022,"Animation, Action, Crime",6.2,231.061,26,en,2
Hacksaw Ridge,2016,"Drama, History, War",8.2,230.758,10667,en,6
Crazy Fist,2021,Action,7.3,230.547,44,zh,2
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy",7.9,230.0,22210,en,10
The Avengers,2012,"Science Fiction, Action, Adventure",7.7,229.772,26490,en,11
Dragon Fury,2021,"Horror, Fantasy, Mystery",6.1,229.215,34,en,5
Tarumama,2021,"Horror, Drama",5.1,228.895,19,es,5
Doctor Strange,2016,"Action, Adventure, Fantasy, Science Fiction",7.4,228.266,18471,en,11
Halloween Kills,2021,"Horror, Thriller",6.8,227.825,1585,en,7
The Exorcism of God,2022,Horror,5.6,226.771,7,en,5
Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction",7.5,224.034,12176,en,11
Harry Potter 20th Anniversary: Return to Hogwarts,2022,Documentary,8.0,222.907,1105,en,3
After We Collided,2020,"Romance, Drama",7.3,221.992,4481,en,6
The Desperate Hour,2022,Thriller,5.8,221.838,21,en,4
Dragon Ball Z: Resurrection 'F',2015,"Action, Animation, Science Fiction",6.8,220.049,1361,ja,2
Seal Team,2021,"Animation, Family, Comedy",7.1,220.017,126,en,0
Knowing,2009,"Action, Mystery, Science Fiction, Thriller",6.1,218.406,4251,en,2
Witch Hunt,2021,"Fantasy, Horror, Thriller, Drama",7.2,217.266,145,en,7
The Maze Runner,2014,"Action, Mystery, Science Fiction, Thriller",7.2,215.466,14398,en,2
The Unholy,2021,Horror,6.8,214.999,1543,en,5
Ashfall,2019,"Action, Adventure, Thriller",6.6,212.134,357,ko,10
The Sky Is Everywhere,2022,"Drama, Romance, Music",5.8,211.618,16,en,6
